Date,NGDP,WSGDP,COFS,Tax,DR,DCPS,AGRO,GREV,GEXP,taxProfit,energyTotal,energyPopul,energyPrice,indexInstitute,indexBureau,indexPayment,indexDemocracy,UNEMPL,INFL,RealInc,bvQ1,bvQ2,bvQ3,bvCrisis,M1,M2,M0,CH,NPLa,NPLp,SID,CM,vTax
2015 Q2,19751.0149879844,49.7,6528.027,10.9,9.07333333333333,55.392151291536,6.7,14078.0617175149,15225.9142404184,1368.190668,1062377.25,146360.45,2145.62,-1.92156962804537,0.161629720983944,0.54102520300284,0.525890449367572,5.6,1.00315205900001,20158.2498712678,0,1,0,1,15024.3,31936.3,6659.5,313342,2273.86828,6.41142682587334,7041.289,20.4407742913237,2152.8606336903
2015 Q3,21788.5894051046,46.1,6648.252,11,8.54333333333335,55.6720869904484,6.7,13868.6523284428,15423.0834051459,1163.754638,1061087.825,146449.375,2167.08,-1.95421824193635,0.154108675401797,0.639474144156755,0.430703094215644,5.26666666666667,1.72937096000001,18833.4376948801,0,0,1,1,14981.2,32052.5,6744.9,322375,2425.701322,6.64424652354692,6979.189,20.741758053194,2396.74483456151
2015 Q4,23079.8428573423,46.1,6734.204,9.9,7.59999999999998,55.9520226893608,6.7,13659.2429393706,15620.2525698734,1271.48876,1059798.4,146538.3,2188.54,-1.98686685582733,0.146587629819649,0.696865939510453,0.335515739063718,5.7,2.27706573500002,20484.8397004023,0,0,0,1,16515.6,35179.7,7239.1,319836,2537.133227,6.82865828191369,7307.611,19.1423008155271,2284.90444287689
2016 Q1,18885.1210828438,50.3,7237.434,11.9,7.78000000000001,55.2396354754648,6.7,13609.4423771565,15819.3011372009,1154.962456,1064335.9,148390.95,2204.695,-1.9632329614588,0.15972142787249,0.631329625461479,0.439378527490508,5.86666666666667,2.06338982079999,18598.1657380589,1,0,0,0,16402,34689.4,7142.9,328871,2652.5749,7.08356855222994,7265.907,20.8635317993393,2247.32940885841
2016 Q2,20452.234645232,49.9,7142.278,10.8,7.21000000000001,54.5272482615687,6.7,13559.6418149423,16018.3497045285,1437.703259,1068873.4,150243.6,2220.85,-1.93959906709028,0.172855225925331,0.766722408047655,0.543241315917299,5.63333333333333,1.21487049440001,20214.5892509889,0,1,0,0,16850.1,35856.9,7372.7,329259,2741.887513,7.2316803045584,7363.156,19.9188384941253,2208.84134168505
2016 Q3,22235.1152234013,46.7,7372.103,10.8,6.51666666666668,53.8148610476727,6.7,13509.8412527282,16217.398271856,1256.697711,1073410.9,152096.25,2237.005,-1.91596517272175,0.185989023978172,0.819381782429321,0.647104104344089,5.23333333333333,0.720989091800006,19179.1803182357,0,0,1,0,16523.7,36148.8,7412.2,332232,2805.494115,7.32503702917379,7383.563,20.3937696410393,2401.39244412734
2016 Q4,24043.6128499307,46.4,7411.714,10.6,6.37666666666667,53.1024738337766,6.7,13460.0406905141,16416.4468391836,1447.044971,1077948.4,153948.9,2253.16,-1.89233127835322,0.199122822031013,0.919840141839169,0.750966892770879,5.36666666666667,1.27537956799999,21099.2923924539,0,0,0,0,17642.4,38418,7714.8,317548,2600.042815,6.54558248820073,8003.455,19.292295278255,2548.62296209265
2017 Q1,20586.1190603733,49.7,7714.352,11,6.23666666666667,52.8460047516608,6.5,13867.2592287015,16417.4109000727,1361.577606,1080737.475,154378.925,2334.62,-1.85577219302815,0.151649024720714,0.899655705017599,1.00152787886498,5.53333333333333,0.972457773199986,18880.6722159795,1,0,0,0,17305.9,38555.2,7610.3,330337,2726.769994,6.82847585208967,8308.139,20.0085902809478,2264.47309664106
2017 Q2,21917.5737734407,49.6,7609.904,10.9,6.01666666666667,52.589535669545,6.3,14274.4777668889,16418.3749609618,1496.010543,1083526.55,154808.95,2416.08,-1.81921310770307,0.104175227410414,1.0110025311254,1.25208886495908,5.2,1.31549844810002,20769.2617960671,0,1,0,0,18040.5,39623.1,7946.9,343469,2707.907373,6.59087641084404,8469.1,19.2057259527902,2389.01554130504
2017 Q3,23718.2161505786,46.4,7946.316,10.7,5.81666666666667,52.3330665874292,6.1,14681.6963050762,16419.339021851,1310.716762,1086315.625,155238.975,2497.54,-1.782654022378,0.0567014301001153,1.16597934209887,1.50264985105318,5,-0.619672432999996,19658.4828558383,0,0,1,0,18009.3,39571,8089.5,351163,2732.726483,6.41990877898193,8881.996,20.081160445781,2537.84912811191
