Date,NGDP,WSGDP,COFS,Tax,DR,DCPS,AGRO,GREV,GEXP,taxProfit,energyTotal,energyPopul,energyPrice,indexInstitute,indexNonDemocratic,indexBureau,pcUpward1,pcUpward2,pcDownward,indexPayment,indexDemocracy,UNEMPL,INFL,bvQ1,bvQ2,bvQ3,bvCrisis,M2,M0,CH,NPLa,NPLp,SID,CM,vTax
2013 Q4,20104.3471418184,45,6391.159,13.1,5.06666666666666,48.0247500537777,7,13019.9394848755,13342.9216402732,1287.064331,1054822.6,140971.1,2148.68,-1.84289998612634,0.233778538502417,-0.0665030904903419,0.166293502610011,-0.133086627163277,0.168055230679963,0.314331637848397,-0.710411038428547,5.5,1.64897127920003,0,0,0,0,31155.6,6985.6,469605,1257.907899,4.01689082783306,5722.239,20.5136765140135,2633.66947557821
2014 Q1,17311.3936353865,49.9,6970.309,14.4,5.15333333333332,49.7266325137611,6.925,13389.1747375715,13715.0852079458,1044.339127,1057355.975,142273.975,2137.185,-1.84529306712562,0.235913290133681,-0.00351465970199276,0.159557055150989,-0.0575617252121332,0.175890735563184,0.34372247782531,-0.731078482744917,5.53333333333333,2.32733012599997,1,0,0,0,29519.3,6608.2,442776,1370.581748,4.28009785613803,5707.239,23.6127177812482,2492.84068349565
2014 Q2,19044.1893878062,48.6,6591.978,15.1,5.23333333333333,51.4285149737445,6.85,13758.4099902674,14087.2487756183,1125.67106,1059889.35,143576.85,2125.69,-1.84768614812491,0.238048041764946,0.0594737710863565,0.152820607691967,0.0179631767390109,0.183726240446405,0.355743806710286,-0.751745927061286,5.03333333333333,2.43931021999997,0,1,0,0,30073.1,6763.5,431958,1513.847042,4.43108527726208,5757.204,21.9198486354915,2875.67259755873
2014 Q3,20544.0041772045,46.1,6750.137,13.3,5.62666666666667,53.1303974337279,6.775,14127.6452429634,14459.4123432908,1163.129086,1062422.725,144879.725,2114.195,-1.8500792291242,0.24018279339621,0.122462201874706,0.146084160232946,0.0934880786901549,0.191561745329625,0.462694004483372,-0.772413371377656,4.86666666666667,1.38592864399998,0,0,1,1,30297.6,6959.3,409224,1601.154622,4.54880347094014,5739.132,22.2794445764681,2732.3525555682
2014 Q4,22130.4528743369,45.5,6949.236,13.1,8.15666666666668,54.8322798937112,6.7,14496.8804956593,14831.5759109634,1307.886067,1064956.1,146182.6,2102.7,-1.85247231012349,0.242317545027474,0.185450632663055,0.139347712773924,0.169012980641299,0.199397250212846,0.580548601198264,-0.793080815694026,5.2,4.7857909952,0,0,0,1,31615.7,7171.5,339371,1725.934218,4.70222171295565,7241.169,21.9803325562932,2899.08932653813
2015 Q1,18467.9128044457,50.2,7159.556,13.1,11.57,55.1122155926236,6.7,14287.4711065871,15028.7450756909,1110.541889,1063666.675,146271.525,2124.16,-1.88527430438756,0.232505635355812,0.189545123868918,0.10789270198059,0.158102791025415,0.218710837712151,0.623456076509782,-0.565972371554334,5.73333333333333,7.439951187,1,0,0,1,31028.8,6540.9,309093,2022.885878,5.75316079183926,6986.477,23.0739055329243,2419.29657738239
2015 Q2,19751.0149879844,49.7,6528.027,10.9,9.07333333333333,55.392151291536,6.7,14078.0617175149,15225.9142404184,1368.190668,1062377.25,146360.45,2145.62,-1.91807629865162,0.22269372568415,0.193639615074781,0.0764376911872559,0.147192601409532,0.238024425211457,0.617110701203002,-0.338863927414641,5.6,1.00315205900001,0,1,0,1,31936.3,6659.5,313342,2273.86828,6.41142682587334,7041.289,20.4407742913237,2152.8606336903
2015 Q3,21788.5894051046,46.1,6648.252,11,8.54333333333335,55.6720869904484,6.7,13868.6523284428,15423.0834051459,1163.754638,1061087.825,146449.375,2167.08,-1.95087829291569,0.212881816012488,0.197734106280644,0.044982680393922,0.136282411793648,0.257338012710762,0.761925867552343,-0.111755483274949,5.26666666666667,1.72937096000001,0,0,1,1,32052.5,6744.9,322375,2425.701322,6.64424652354692,6979.189,20.741758053194,2396.74483456151
2015 Q4,23079.8428573423,46.1,6734.204,9.9,7.59999999999998,55.9520226893608,6.7,13659.2429393706,15620.2525698734,1271.48876,1059798.4,146538.3,2188.54,-1.98368028717976,0.203069906340826,0.201828597486507,0.013527669600588,0.125372222177764,0.276651600210067,0.869348502187249,0.115352960864744,5.7,2.27706573500002,0,0,0,1,35179.7,7239.1,319836,2537.133227,6.82865828191369,7307.611,19.1423008155271,2284.90444287689
2016 Q1,18885.1210828438,50.3,7237.434,11.9,7.78000000000001,55.2396354754648,6.7,13609.4423771565,15819.3011372009,1154.962456,1064335.9,148390.95,2204.695,-1.95993402044075,0.215445378440712,0.208591123475446,0.0296383427022509,0.138350233117431,0.280170475748959,0.792601815605077,0.156506301882826,5.86666666666667,2.06338982079999,1,0,0,0,34689.4,7142.9,328871,2652.5749,7.08356855222994,7265.907,20.8635317993393,2247.32940885841
