Date,NGDP,WSGDP,Tax,DCPS,AGRO,GREV,GEXP,indexInstitute,indexBureau,indexDemocracy,NPLp,SID,Unempl,bvQ1,bvQ2,bvQ3,vTax
2016 Q4,1515770.3,29.079722699409,9.79205094597777,48.8756443742773,33.6016696481813,301441.35,371312.725,-0.932600384928963,0.226454304182674,1.88409073025056,6.72411125058909,550001.4,17.1,0,0,0,148425
2017 Q1,971041,28.5085512601555,13.1589706304883,49.5423797321028,33.0370731316583,305880.0125,374835.16875,-0.930334740175042,0.212227003778172,1.85118069205196,6.84995808686989,565475.5,19,1,0,0,127779
2017 Q2,1212700.8,27.937379820902,10.6388484282356,50.2091150899282,32.4724766151354,310318.675,378357.6125,-0.92806909542112,0.197999703373669,1.81827065385336,6.29223719794117,576145.8,17.8,0,1,0,129017.4
2017 Q3,1587405.4,27.3662083816485,9.15252650646143,50.8758504477537,31.9078800986125,314757.3375,381880.05625,-0.925803450667199,0.183772402969167,1.78536061565476,7.40328061140264,593288.9,16.5,0,0,1,145287.7
2017 Q4,1793346.1,26.795036942395,9.47897898793769,51.5425858055791,31.3432835820896,319196,385402.5,-0.923537805913277,0.169545102564664,1.75245057745616,5.43231777940314,619502.4,18,0,0,0,169990.9
2018 Q1,1115563.9,26.9669122393382,13.3699019840997,52.5324400375242,29.9714588715934,325925.9625,381599.18125,-0.817928592005162,0.0765061052649398,1.96970253287434,5.39600462447146,630044,17.6,1,0,0,149149.8
2018 Q2,1362703.9,27.1387875362814,10.0252006323604,53.5222942694693,28.5996341610972,332655.925,377795.8625,-0.712319378097047,-0.0165328920347844,2.18695448829253,6.32056277091301,605230.5,15.7,0,1,0,136613.8
2018 Q3,1687018.4,27.3106628332246,9.52691446637452,54.5121485014144,27.2278094506011,339385.8875,373992.54375,-0.606710164188932,-0.109571889334509,2.40420644371071,6.90954297935195,641830.2,15.3,0,0,1,160720.8
2018 Q4,1851749,27.4825381301678,10.4085596914053,55.5020027333594,25.8559847401049,346115.85,370189.225,-0.501100950280817,-0.202610886634233,2.6214583991289,4.75439825091817,670546.3,16.9,0,0,0,192740.4
2019 Q1,1242121.8,27.4680549238335,15.7646295234493,56.6653115288144,24.8658144321903,360519.675,381847.55625,-0.439741930177379,-0.231980575981807,2.72915945861911,5.03040496067363,703356.2,21.9,1,0,0,195815.9
2019 Q2,1484958.1,27.4535717174992,11.4679734061183,57.8286203242693,23.8756441242756,374923.5,393505.8875,-0.378382910073942,-0.261350265329382,2.83686051810932,5.44125585239507,705102.1,17.7,0,1,0,170294.6
2019 Q3,1822640.1,27.439088511165,10.1459799990135,58.9919291197242,22.8854738163609,389327.325,405164.21875,-0.317023889970504,-0.290719954676956,2.94456157759953,5.45277643424668,715088.5,18,0,0,1,184924.7
2019 Q4,1993601.8,27.4246053048307,9.74486479697199,60.1552379151791,21.8953035084463,403731.15,416822.55,-0.255664869867067,-0.32008964402453,3.05226263708975,5.50666582915208,737173.5,17.9,0,0,0,194273.8
2020 Q1,1268125,27.902091478623,13.348092656481,63.1653532917846,21.875677555318,403343.86875,432923.15625,-0.228232277385901,-0.320201698117627,3.15122969955614,5.51649754830496,785417,19.7,1,0,0,169270.5
2020 Q2,1270767.7,28.3795776524153,10.5300835077882,66.1754686683902,21.8560516021897,402956.5875,449023.7625,-0.200799684904736,-0.320313752210724,3.25019676202253,5.679236847896,838093.2,17.5,0,1,0,133812.9
2020 Q3,1743270.4,28.8570638262077,9.78368588143297,69.1855840449957,21.8364256490614,402569.30625,465124.36875,-0.173367092423571,-0.320425806303821,3.34916382448892,6.00653742411585,915656.6,18.2,0,0,1,170556.1
2020 Q4,1899501,29.33455,10.4912500704132,72.1956994216012,21.8167996959331,402182.025,481224.975,-0.145934499942406,-0.320537860396917,3.44813088695531,6.55481572888625,997646.4,16,0,0,0,199281.4
