Date,NGDP,WSGDP,COFS,Slr,AGRO,GREV,GEXP,taxProfit,CH,SID,SED,NPLa,NPLp,indexInstitute,indexBureau,indexPayment,indexDemocracy,Unempl,INFL,RealInc,bvQ1,bvQ2,bvQ3,M2,M0,DR,CM,Tax
2016-2,10047.966,33.9044409584985,1580.639,3406.7067,16.2783042528036,529.477815625,551.901315625,852.6735,11814.7,5953,13800,627.923,7.69853876566992,-1.43253655859018,0.030951067053271,0.456253900709775,1.17389667889933,5,1.507412,82007.8721408752,0,1,0,10669.976,1582.258,11.2,14.8138946141959,8.48603090416508
2016-3,11998.0692,31.5543871008845,1559.092,3785.9172,16.6768220037272,555.6290703125,570.7551859375,904.0243,9358.1,6627.2,13900,656.709,7.79858572858182,-1.43760451585578,0.0389513509587806,0.537000092493641,1.28076587454047,4.9,0.902402000000002,79908.7448131006,0,0,1,11173.979,1560.761,11.2,13.9528810641223,7.53474817431458
2016-4,15616.0239,28.7968699894216,1747.35,4496.9261,15.8138548690626,581.780325,589.60905625,809.452699999999,8186.7,6816,13900,618.727,7.21222950511251,-1.44267247312138,0.0469516348642902,0.618024577371549,1.3876350701816,4.9,2.72346480000001,85197.9828013097,0,0,0,12566.465,1748.81,12,13.9048650515479,5.18347503297558
2017-1,10431.358,26.5598592244653,1643.596,2770.554,13.8914399024574,617.0804234375,637.290825,915.5746,5802.5,7592.6,13800,767.558,8.78386582425745,-1.42798175747862,0.0740564717317258,0.715950984497648,1.48871107443727,4.9,2.31703999999999,75532.0527237998,1,0,0,12746.522,1645.407,12.1,12.8944664277832,8.77713716660861
2017-2,11114.9117,32.8942073376975,1828.938,3656.1621,15.7906432747169,652.380521875,684.97259375,901.2968,6370,7413,13800,845.6,9.35942091128839,-1.41329104183586,0.101161308599162,0.789114940404101,1.58978707869294,4.9,1.40650999999998,79627.9438603126,0,1,0,13612.005,1830.669,12.1,13.4362131074739,8.1088975272741
2017-3,13595.7955,31.5172392818059,1814.635,4285.0194,16.0336996034456,687.6806203125,732.6543625,889.9341,4627.3,8208,13800,893.534,9.42017770618176,-1.3986003261931,0.128266145466597,0.848319885594197,1.6908630829486,4.9,0.500700299999957,78194.021283585,0,0,1,14096.004,1816.089,11.9,12.8734001494324,6.54565670688412
2017-4,19236.7926,30.6636762305167,1944.989,5898.7078,14.7904001768344,722.98071875,780.33613125,1077.6515,4302.4,8935.2,13800,716.248,7.64667756403557,-1.38390961055034,0.155370982334033,0.966263956722446,1.79193908720427,4.9,2.82557559999999,84131.9387667942,0,0,0,13513.732,1946.338,10.5,14.3926858990544,5.60203315806399
2018-1,11786.1667,26.6513437316307,1809.265,3141.1718,14.0774103966791,711.119490625,762.5341984375,1012.3974,3953.2,9986.8,13684.6375074511,851.634,9.05084007593645,-1.33408040280177,0.146756496656311,1.03232452064012,1.65736972199262,4.9,1.81072099999999,76940.8576297159,1,0,0,13351.482,1810.244,10.1,13.5510424985032,8.58970881516549
2018-2,13070.9525,32.5498000241375,2058.002,4254.5689,14.3063238498355,699.2582625,744.732265625,1140.5934,4448.2,9572.4,13600,706.264,7.30129977617372,-1.28425119505321,0.138142010978588,1.12961574907731,1.52280035678098,4.9,0.802001599999991,81490.4835383587,0,1,0,14433.228,2059,10,14.2587784243414,8.72616896129031
2018-3,14909.9865,30.5978781402653,2065.772,4562.1395,14.421559572639,687.397034375,726.9303328125,1296.3257,5634.4,9610,13600,677.511,6.94611786494054,-1.23442198730464,0.129527525300866,1.14807103679131,1.38823099156934,4.8,0.701400799999985,80441.5817486973,0,0,1,13677.123,2067.026,9.9,15.1038489600481,8.69434522962177
2018-4,22052.4307,31.1423184746705,2259.406,6867.6382,14.0846307502564,675.53580625,709.1284,1277.2171,5629.3,9745.9,14683.3731347451,595.704,5.90137820080996,-1.18459277955608,0.120913039623143,1.47443771400489,1.2536616263577,4.8,2.01272519999998,85808.3195738968,0,0,0,14467.056,2260.157,9.7,15.6175935172989,5.79172934437563
2019-1,13180.8572,26.6263024228804,2192.086,3509.5749,13.8217722279708,706.0030921875,743.3397578125,1236.4841,3684.2,10283.8,14300,677.824,6.76991909244348,-1.15923274258996,0.12108612719916,1.51639563915395,1.44303618456595,4.8,1.30550749999998,81064.7156797044,1,0,0,14641.941,2193.233,9.3,14.9712801055543,9.38090809450542
2019-2,14727.7609,32.675459852149,2230.438,4812.3636,13.9300543367555,736.470378125,777.551115625,1344.6657,3249.6,10041,14310.8655411134,687.882,6.49363571175848,-1.13387270562384,0.121259214775176,1.69259606539343,1.6324107427742,4.8,1.30520599999999,88591.8018922857,0,1,0,14549.374,2231.486,9.3,15.3301303547493,9.13014346939866
2019-3,16389.294,30.4692380281908,2232.03,4993.693,13.6491012701729,766.9376640625,811.7624734375,1467.4687,4683.4,10080.7,15214.6630474089,709.51,6.42261379950865,-1.10851266865772,0.121432302351192,2.13675849344201,1.82178530098246,4.8,0.701601199999979,90140.2500706857,0,0,1,15200.475,2232.862,9.2,14.6839490213299,8.95382497867205
2019-4,25234.7144,31.2407011033975,2299.714,7883.5017,13.3800808583247,797.40495,845.97383125,1523.5843,4053.7,10680.4,15232.8615449396,724.434,6.26631650523413,-1.0831526316916,0.121605389927209,2.23818939886578,2.01115985919071,4.8,2.01332939999999,94257.5754773561,0,0,0,16054.341,2300.505,8.8,14.324561811662,6.03765224305451
2020-1,15093.3424,26.4415435245145,2300.071,3990.9127,13.0221852174208,824.94731875,895.810009375,1186.2966,4457.2,11086.4,14867.0077,840.75,7.11527438469908,-1.07867793285519,0.0816464324739078,2.53091850979091,2.04388430413894,4.8,2.21593779999998,90608.0864154411,1,0,0,16407.064,2301.265,9,14.018784835605,7.85973423620205
2020-2,13306.2503,37.2279837543714,2783.049,4953.6487,13.7020446819118,852.4896875,945.6461875,841.2881,4192.9,12235.1,14853.17,863.284,7.35180866105609,-1.07420323401879,0.0416874750206068,2.94446701848524,2.07660874908717,5,1.81011799999999,94196.1701394152,0,1,0,17214.619,2784.088,9.8,16.1667766216609,6.32250319235314
2020-3,17403.6625,29.9059269851964,2807.97,5204.7266,13.9034642485578,880.03205625,995.482365625,1227.5492,3265,13179.5,15121.094141506,820.034,6.74476894942406,-1.06972853518238,0.00172851756730593,3.25169524542507,2.1093331940354,5,0.701500899999963,90140.8984337149,0,0,1,18379.007,2808.87,9.7,15.2781377144043,7.05339580102751
2020-4,24845.778,31.752168919806,2827.144,7889.0734,13.5884856235542,907.574425,1045.31854375,1886.5323,5595.5,13745.41,16393.9319583787,806.057,6.33361638772569,-1.06525383634597,-0.038230439885995,3.6093548651908,2.14205763898363,4.9,2.41894859999998,100419.666568838,0,0,0,19134.928,2828.046,9.2,14.7747825338041,7.59296931655753
